일자,계(명),서울,부산,대구,대전,경기
2022-03-28,"101,882","34,183","6,643","5,232","5,278","50,546"
2022-03-29,"203,611","66,050","19,962","17,814","11,123","88,662"
2022-03-30,"244,318","81,799","16,440","17,838","11,249","116,992"
2022-03-31,"180,549","60,109","13,047","12,709","10,056","84,628"
2022-04-01,"158,627","51,703","11,852","11,381","8,093","75,598"
2022-04-02,"150,130","48,666","10,690","11,275","7,989","71,510"
2022-04-03,"129,988","42,088","9,113","9,695","6,971","62,121"
2022-04-04,"69,925","20,886","4,078","3,450","4,584","36,927"
2022-04-05,"154,400","51,479","12,259","13,538","7,778","69,346"
2022-04-06,"160,946","52,411","10,484","12,102","9,068","76,881"
2022-04-07,"125,711","39,867","8,452","9,752","7,397","60,243"
2022-04-08,"114,615","36,200","7,471","9,222","6,927","54,795"
2022-04-09,"102,177","32,309","7,006","7,680","6,999","48,183"
2022-04-10,"89,667","28,879","5,981","7,066","5,403","42,338"
2022-04-11,"49,176","14,244","2,505","2,992","3,675","25,760"
2022-04-12,"121,463","39,501","9,606","11,366","6,816","54,174"
2022-04-13,"106,078","33,063","6,365","8,355","6,516","51,779"
2022-04-14,"80,139","24,967","5,394","6,635","5,159","37,984"
2022-04-15,"68,617","21,436","4,586","5,520","4,502","32,573"
2022-04-16,"58,023","18,109","3,907","4,702","3,836","27,469"
2022-04-17,"49,041","14,799","3,373","4,208","3,557","23,104"
2022-04-18,"25,962","7,337","1,348","1,626","1,735","13,916"
2022-04-19,"66,817","21,806","5,382","6,500","3,474","29,655"
2022-04-20,"59,505","18,311","3,747","5,013","3,891","28,543"
2022-04-21,"48,532","15,178","3,538","4,202","3,005","22,609"
2022-04-22,"43,625","13,184","3,128","4,030","2,859","20,424"
2022-04-23,"40,511","12,329","3,119","3,966","2,663","18,434"
2022-04-24,"33,963","10,364","2,673","3,398","2,297","15,231"
2022-04-25,"17,728","4,759","1,070","1,421","1,424","9,054"
2022-04-26,"44,289","13,552","4,002","4,900","2,478","19,357"
2022-04-27,"39,261","11,508","3,020","3,598","2,717","18,418"
2022-04-28,"30,036","9,104","2,444","2,837","1,998","13,653"
2022-04-29,"26,255","7,724","2,253","2,507","1,733","12,038"
2022-04-30,"22,592","6,450","2,029","2,316","1,458","10,339"
2022-05-01,"19,035","5,460","1,634","2,035","1,337","8,569"
2022-05-02,"10,214","2,646",692,864,675,"5,337"
2022-05-03,"28,221","8,708","2,869","3,245","1,665","11,734"
2022-05-04,"25,466","7,434","2,169","2,484","1,714","11,665"
2022-05-05,"22,554","6,641","2,047","2,165","1,462","10,239"
2022-05-06,"13,000","3,590",865,"1,312","1,073","6,160"
2022-05-07,"21,974","6,639","2,274","2,314","1,309","9,438"
2022-05-08,"20,191","5,973","1,802","2,418","1,448","8,550"
2022-05-09,"10,656","2,713",716,972,778,"5,477"
2022-05-10,"27,029","8,138","2,771","3,244","1,547","11,329"
2022-05-11,"22,347","6,200","1,996","2,223","1,428","10,500"
2022-05-12,"18,987","5,693","1,741","1,887","1,282","8,384"
2022-05-13,"17,385","5,172","1,601","1,796","1,058","7,758"
2022-05-14,"15,684","4,763","1,539","1,516",890,"6,976"
2022-05-15,"13,070","4,022","1,027","1,303",923,"5,795"
2022-05-16,"6,753","1,682",472,564,462,"3,573"
2022-05-17,"20,056","5,883","1,914","2,095","1,077","9,087"
2022-05-18,"16,848","5,041","1,477","1,528","1,026","7,776"
2022-05-19,"15,087","4,556","1,261","1,462",950,"6,858"
2022-05-20,"13,336","4,109","1,084","1,297",845,"6,001"
2022-05-21,"12,424","3,585","1,094","1,316",743,"5,686"
2022-05-22,"9,919","2,901",868,"1,193",695,"4,262"
2022-05-23,"5,102","1,213",358,480,386,"2,665"
2022-05-24,"14,783","4,269","1,527","2,054",908,"6,025"
2022-05-25,"12,156","3,579","1,037","1,438",844,"5,258"
2022-05-26,"9,952","2,786",892,"1,299",628,"4,347"
2022-05-27,"8,968","3,029",810,"1,014",552,"3,563"
2022-05-28,"7,650","2,274",682,974,467,"3,253"
2022-05-29,"6,624","2,013",534,794,446,"2,837"
2022-05-30,"3,251","1,119",190,301,174,"1,467"
2022-05-31,"9,848","3,332",887,"1,307",548,"3,774"
2022-06-01,"8,549","2,922",706,941,451,"3,529"
2022-06-02,"5,381","1,821",402,687,368,"2,103"
2022-06-03,"7,182","2,439",607,915,354,"2,867"
2022-06-04,"6,658","2,240",634,718,321,"2,745"
2022-06-05,"5,301","1,717",472,613,312,"2,187"
2022-06-06,"2,756",736,185,301,195,"1,339"
2022-06-07,"3,241",952,316,338,197,"1,438"
2022-06-08,"7,867","2,614",821,992,370,"3,070"
2022-06-09,"6,475","2,007",668,671,396,"2,733"
2022-06-10,"4,982","1,534",494,568,266,"2,120"
2022-06-11,"4,675","1,382",444,534,250,"2,065"
2022-06-12,"3,922","1,154",417,396,268,"1,687"
2022-06-13,"2,218",660,187,204,146,"1,021"
2022-06-14,"5,631","1,759",669,619,239,"2,345"
2022-06-15,"5,333","1,687",534,559,271,"2,282"
2022-06-16,"4,647","1,539",456,466,195,"1,991"
2022-06-17,"4,092","1,274",473,446,177,"1,722"
2022-06-18,"3,906","1,233",421,438,126,"1,688"
2022-06-19,"3,392","1,106",343,402,138,"1,403"
2022-06-20,"1,966",706,148,139,90,883
2022-06-21,"5,845","2,032",531,587,175,"2,520"
2022-06-22,"5,267","1,771",552,468,204,"2,272"
2022-06-23,"4,554","1,576",454,351,205,"1,968"
2022-06-24,"4,371","1,581",395,384,159,"1,852"
2022-06-25,"4,139","1,544",401,315,163,"1,716"
2022-06-26,"3,759","1,306",388,283,150,"1,632"
2022-06-27,"1,944",595,149,91,99,"1,010"
2022-06-28,"6,410","2,467",684,460,221,"2,578"
2022-06-29,"6,372","2,461",595,391,269,"2,656"
2022-06-30,"5,937","2,276",587,402,230,"2,442"
2022-07-01,"6,017","2,338",586,423,209,"2,461"
2022-07-02,"6,839","2,771",610,369,274,"2,815"
2022-07-03,"6,166","2,429",546,294,241,"2,656"
2022-07-04,"3,803","1,156",291,253,213,"1,890"
2022-07-05,"11,936","4,765","1,167",677,433,"4,894"
2022-07-06,"12,181","4,757","1,159",645,451,"5,169"
2022-07-07,"11,849","4,573","1,154",658,488,"4,976"
2022-07-08,"12,418","4,596","1,236",627,559,"5,400"
2022-07-09,"13,009","4,892","1,278",711,504,"5,624"
2022-07-10,"12,973","5,228","1,296",488,524,"5,437"
2022-07-11,"8,147","2,615",625,454,469,"3,984"
2022-07-12,"24,711","9,402","2,666","1,433",912,"10,298"
2022-07-13,"25,421","9,354","2,505","1,429",968,"11,165"
2022-07-14,"24,926","9,643","2,357","1,281","1,022","10,623"
2022-07-15,"24,544","8,941","2,531","1,545","1,006","10,521"
2022-07-16,"25,894","9,447","2,617","1,335","1,055","11,440"
2022-07-17,"24,510","8,560","2,568","1,174","1,171","11,037"
2022-07-18,"16,171","4,888","1,249","1,022",758,"8,254"
2022-07-19,"47,371","18,024","4,890","2,423","1,951","20,083"
2022-07-20,"47,568","17,186","4,408","2,573","2,058","21,343"
2022-07-21,"44,695","16,650","4,125","2,405","2,025","19,490"
2022-07-22,"42,092","15,364","3,793","2,286","1,843","18,806"
2022-07-23,"41,657","14,817","3,941","2,558","1,976","18,365"
2022-07-24,"38,518","13,794","3,535","1,922","1,986","17,281"
2022-07-25,"20,969","5,961","1,436","1,430","1,250","10,892"
2022-07-26,"62,763","23,047","6,309","3,444","2,704","27,259"
2022-07-27,"59,245","20,056","5,287","3,876","2,845","27,181"
2022-07-28,"52,700","18,143","4,694","3,051","2,571","24,241"
2022-07-29,"51,681","17,494","4,589","3,498","2,557","23,543"
2022-07-30,"48,817","16,534","4,513","2,873","2,476","22,421"
2022-07-31,"41,457","14,130","3,833","2,504","2,417","18,573"
2022-08-01,"25,792","7,310","2,054","1,947","1,488","12,993"
2022-08-02,"70,335","24,598","7,009","4,485","4,162","30,081"
2022-08-03,"69,618","22,993","6,654","4,761","3,530","31,680"
2022-08-04,"61,912","20,210","6,181","4,394","3,314","27,813"
2022-08-05,"65,230","20,774","6,633","4,799","3,622","29,402"
2022-08-06,"63,957","20,145","6,574","4,706","3,462","29,070"
2022-08-07,"58,612","18,346","5,820","4,721","3,452","26,273"
2022-08-08,"29,599","7,853","2,615","2,284","1,772","15,075"
2022-08-09,"90,585","29,465","10,007","7,151","4,952","39,010"
2022-08-10,"84,698","26,045","8,910","6,996","4,674","38,073"
2022-08-11,"78,061","24,491","8,184","6,299","4,265","34,822"
2022-08-12,"72,542","22,812","7,388","5,816","3,797","32,729"
2022-08-13,"70,573","21,838","7,658","6,069","3,900","31,108"
2022-08-14,"65,522","19,576","6,997","5,633","4,112","29,204"
2022-08-15,"32,533","8,233","2,925","3,038","2,262","16,075"
2022-08-16,"46,641","13,048","4,671","4,904","2,968","21,050"
2022-08-17,"106,374","32,505","13,021","8,727","6,175","45,946"
2022-08-18,"97,906","28,356","11,142","9,930","6,066","42,412"
2022-08-19,"75,648","21,012","8,761","8,134","4,387","33,354"
2022-08-20,"71,409","19,955","8,545","7,220","4,368","31,321"
2022-08-21,"59,345","16,734","6,827","6,434","3,771","25,579"
2022-08-22,"30,736","7,389","2,732","3,572","2,049","14,994"
2022-08-23,"87,410","25,661","10,687","8,635","5,209","37,218"
2022-08-24,"73,872","20,561","8,583","7,890","4,202","32,636"
2022-08-25,"61,859","17,713","7,164","6,307","3,660","27,015"
2022-08-26,"55,195","15,748","6,276","5,317","3,330","24,524"
2022-08-27,"52,094","14,577","6,028","5,578","3,054","22,857"
2022-08-28,"45,624","13,039","5,070","4,908","2,784","19,823"
2022-08-29,"22,953","5,752","1,795","1,965","1,562","11,879"
2022-08-30,"68,473","20,406","7,808","6,106","3,883","30,270"
2022-08-31,"56,581","15,900","5,847","5,734","3,203","25,897"
2022-09-01,"44,842","13,313","4,486","4,135","2,664","20,244"
2022-09-02,"52,114","15,558","4,766","5,060","3,111","23,619"
2022-09-03,"45,918","13,880","4,172","4,238","2,512","21,116"
2022-09-04,"40,577","11,926","3,683","4,270","2,342","18,356"
2022-09-05,"20,427","5,316","1,392","1,749","1,298","10,672"
2022-09-06,"59,914","18,762","6,084","5,032","3,266","26,770"
2022-09-07,"48,912","14,526","3,675","5,361","2,537","22,813"
2022-09-08,"41,878","13,063","3,322","3,930","2,279","19,284"
2022-09-09,"39,735","12,303","3,604","3,723","2,243","17,862"
2022-09-10,"22,684","6,071","1,602","2,584","1,480","10,947"
2022-09-11,"15,375","4,800","1,184","1,328","1,003","7,060"
2022-09-12,"20,986","6,285","1,544","1,814","1,273","10,070"
2022-09-13,"33,707","9,545","3,199","3,465","2,032","15,466"
2022-09-14,"56,911","17,377","4,979","5,360","3,073","26,122"
2022-09-15,"39,695","11,812","3,346","3,699","1,940","18,898"
2022-09-16,"30,123","9,216","2,499","2,955","1,604","13,849"
2022-09-17,"25,080","7,653","2,080","2,475","1,273","11,599"
2022-09-18,"19,590","5,963","1,593","2,020","1,004","9,010"
2022-09-19,"11,128","3,197",638,942,606,"5,745"
2022-09-20,"29,558","9,728","2,406","2,612","1,507","13,305"
2022-09-21,"24,035","7,351","1,798","2,132","1,161","11,593"
2022-09-22,"19,528","6,149","1,521","1,826",954,"9,078"
2022-09-23,"17,312","5,617","1,274","1,436",804,"8,181"
2022-09-24,"17,435","5,643","1,257","1,592",814,"8,129"
2022-09-25,"15,092","4,881","1,155","1,254",723,"7,079"
2022-09-26,"8,218","2,332",472,842,406,"4,166"
2022-09-27,"24,999","8,542","1,886","2,056","1,132","11,383"
2022-09-28,"21,693","7,110","1,621","1,664","1,014","10,284"
2022-09-29,"18,763","6,259","1,416","1,452",816,"8,820"
2022-09-30,"17,554","5,790","1,267","1,598",732,"8,167"
2022-10-01,"16,726","5,578","1,315","1,251",751,"7,831"
2022-10-02,"14,266","4,786","1,020","1,017",605,"6,838"
2022-10-03,"7,342","2,023",431,772,337,"3,779"
2022-10-04,"9,921","3,083",693,887,467,"4,791"
2022-10-05,"21,805","7,664","1,798","1,596",915,"9,832"
2022-10-06,"16,964","5,518","1,314","1,608",742,"7,782"
2022-10-07,"13,581","4,316","1,053","1,470",598,"6,144"
2022-10-08,"11,755","3,958",949,"1,018",503,"5,327"
2022-10-09,"10,529","3,550",883,964,463,"4,669"
2022-10-10,"5,183","1,491",316,473,275,"2,628"
2022-10-11,"9,275","3,049",794,567,471,"4,394"
2022-10-12,"19,459","6,792","1,692","1,632",853,"8,490"
2022-10-13,"15,856","5,243","1,203","1,250",728,"7,432"
2022-10-14,"14,240","4,830","1,113",969,735,"6,593"
2022-10-15,"13,989","4,572","1,177","1,109",701,"6,430"
2022-10-16,"12,949","4,186",993,"1,052",627,"6,091"
2022-10-17,"6,499","1,915",407,464,350,"3,363"
2022-10-18,"21,217","7,524","1,783","1,461",986,"9,463"
2022-10-19,"17,956","5,891","1,411","1,360",827,"8,467"
2022-10-20,"15,634","5,408","1,096","1,116",761,"7,253"
2022-10-21,"15,349","5,053","1,206","1,245",771,"7,074"
2022-10-22,"17,087","6,011","1,218","1,000",808,"8,050"
2022-10-23,"16,041","5,170","1,192","1,204",881,"7,594"
2022-10-24,"8,529","2,434",493,555,450,"4,597"
2022-10-25,"28,520","10,055","2,309","1,829","1,442","12,885"
2022-10-26,"24,890","7,901","1,852","1,956","1,163","12,018"
2022-10-27,"21,479","6,846","1,744","1,556","1,076","10,257"
2022-10-28,"22,241","7,477","1,675","1,604","1,035","10,450"
2022-10-29,"23,326","7,572","1,893","1,680","1,186","10,995"
2022-10-30,"20,681","6,703","1,557","1,703","1,035","9,683"
2022-10-31,"11,009","3,099",674,730,573,"5,933"
2022-11-01,"37,515","13,014","3,032","2,458","1,966","17,045"
2022-11-02,"33,387","10,933","2,420","2,420","1,650","15,964"
2022-11-03,"28,853","9,542","2,216","1,767","1,509","13,819"
2022-11-04,"26,808","8,672","2,092","1,953","1,390","12,701"
2022-11-05,"24,989","8,096","1,974","1,797","1,366","11,756"
2022-11-06,"22,007","7,157","1,648","1,706","1,068","10,428"
2022-11-07,"11,391","3,317",569,646,586,"6,273"
2022-11-08,"40,502","14,156","3,172","2,717","2,231","18,226"
2022-11-09,"38,352","12,479","2,703","2,704","1,949","18,517"
2022-11-10,"34,092","11,069","2,468","2,508","1,784","16,263"
2022-11-11,"33,543","10,897","2,685","2,373","1,785","15,803"
2022-11-12,"33,190","10,827","2,759","2,428","1,898","15,278"
2022-11-13,"28,843","9,257","2,365","2,329","1,632","13,260"
2022-11-14,"14,003","3,645",949,"1,046",902,"7,461"
2022-11-15,"46,433","15,536","4,540","3,252","2,611","20,494"
2022-11-16,"39,908","12,474","3,364","2,936","2,116","19,018"
2022-11-17,"33,719","10,840","2,964","2,395","1,831","15,689"
2022-11-18,"30,035","9,733","2,549","2,182","1,509","14,062"
2022-11-19,"31,120","10,119","2,784","2,258","1,627","14,332"
2022-11-20,"27,016","8,800","2,623","1,770","1,441","12,382"
2022-11-21,"14,101","3,821","1,035","1,311",870,"7,064"
2022-11-22,"46,841","15,610","4,590","3,523","2,396","20,722"
2022-11-23,"42,398","13,493","4,023","2,990","2,098","19,794"
2022-11-24,"35,763","11,447","3,250","2,720","1,878","16,468"
2022-11-25,"32,698","10,677","3,172","2,302","1,765","14,782"
2022-11-26,"31,972","10,157","2,992","2,494","1,617","14,712"
2022-11-27,"28,426","9,152","2,417","2,367","1,509","12,981"
2022-11-28,"12,989","3,791",971,724,820,"6,683"
2022-11-29,"45,806","15,500","4,764","3,499","2,217","19,826"
2022-11-30,"39,994","12,284","3,798","3,025","2,046","18,841"
2022-12-01,"34,467","11,027","3,148","2,562","1,802","15,928"
2022-12-02,"32,532","10,482","2,927","2,405","1,693","15,025"
2022-12-03,"31,961","10,361","2,754","2,372","1,667","14,807"
2022-12-04,"27,616","8,523","2,453","2,327","1,466","12,847"
2022-12-05,"13,754","3,920",992,692,774,"7,376"
2022-12-06,"49,696","16,368","4,853","3,759","2,588","22,128"
2022-12-07,"44,577","13,742","3,962","3,312","2,239","21,322"
2022-12-08,"39,205","11,973","3,928","3,078","1,948","18,278"
2022-12-09,"37,888","11,842","3,782","2,782","1,848","17,634"
2022-12-10,"37,622","11,682","3,834","2,795","1,789","17,522"
2022-12-11,"31,510","9,595","3,296","2,281","1,588","14,750"
2022-12-12,"14,577","3,907","1,113",778,768,"8,011"
2022-12-13,"54,588","17,688","6,234","3,949","2,629","24,088"
2022-12-14,"49,828","15,170","5,421","3,700","2,351","23,186"
2022-12-15,"41,608","12,826","4,668","3,087","2,004","19,023"
2022-12-16,"40,044","12,392","4,304","2,869","2,002","18,477"
2022-12-17,"39,668","12,395","4,228","3,078","1,941","18,026"
2022-12-18,"34,615","10,636","3,843","2,722","1,614","15,800"
2022-12-19,"15,206","4,190","1,213",973,801,"8,029"
2022-12-20,"55,656","18,209","6,560","3,622","2,643","24,622"
2022-12-21,"50,764","15,555","5,497","3,616","2,365","23,731"
2022-12-22,"45,365","13,935","5,136","3,196","2,179","20,919"
2022-12-23,"40,570","12,405","4,731","2,657","1,984","18,793"
2022-12-24,"40,037","12,075","4,741","2,832","1,821","18,568"
2022-12-25,"35,100","10,494","3,986","2,485","1,704","16,431"
2022-12-26,"14,138","3,579","1,213",844,765,"7,737"
2022-12-27,"55,924","18,717","6,825","3,464","2,562","24,356"
2022-12-28,"51,893","15,772","6,141","3,521","2,346","24,113"
2022-12-29,"42,509","13,388","4,833","2,648","1,993","19,647"
2022-12-30,"38,920","11,665","4,804","2,703","1,810","17,938"
2022-12-31,"37,247","11,593","4,502","2,614","1,745","16,793"
2023-01-01,"33,806","9,980","4,062","2,477","1,654","15,633"
2023-01-02,"12,467","3,302","1,175",593,737,"6,660"
2023-01-03,"51,382","16,955","6,626","3,062","2,363","22,376"
2023-01-04,"45,575","13,908","5,366","3,150","2,180","20,971"
2023-01-05,"37,476","11,502","4,482","2,713","1,726","17,053"
2023-01-06,"33,553","10,403","3,952","2,146","1,653","15,399"
2023-01-07,"31,562","9,914","3,653","2,008","1,519","14,468"
2023-01-08,"26,427","7,814","3,036","2,013","1,272","12,292"
2023-01-09,"10,810","2,841",928,563,625,"5,853"
2023-01-10,"37,106","12,133","4,697","2,398","1,777","16,101"
2023-01-11,"31,394","9,527","3,613","2,376","1,494","14,384"
2023-01-12,"25,559","7,942","2,854","1,892","1,271","11,600"
2023-01-13,"23,216","7,192","2,869","1,722","1,138","10,295"
2023-01-14,"21,247","6,640","2,413","1,539","1,038","9,617"
2023-01-15,"18,560","5,745","2,150","1,521",913,"8,231"
2023-01-16,"7,918","2,135",772,592,430,"3,989"
2023-01-17,"24,901","8,542","2,949","1,675","1,173","10,562"
2023-01-18,"21,636","6,632","2,414","1,740","1,019","9,831"
2023-01-19,"17,557","5,495","1,884","1,355",886,"7,937"
2023-01-20,"15,956","5,004","1,823","1,267",762,"7,100"
2023-01-21,"16,351","5,158","1,947","1,306",799,"7,141"
2023-01-22,"8,836","2,313",886,"1,028",467,"4,142"
2023-01-23,"5,046","1,438",581,342,335,"2,350"
2023-01-24,"7,113","2,125",793,520,402,"3,273"
2023-01-25,"11,455","3,184","1,379","1,089",618,"5,185"
